,Round 6,Round 6,,,,,,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats
Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
152,Columbus Blue Jackets,Daniel Zaar\zaarda01,SE,RW,18,,Rogle Jr. (Sweden-Jr.),,,,,,,,,,,,
153,Edmonton Oilers,John McCarron\mccarjo02,US,RW,20,,Cornell (ECAC),,,,,,,,,,,,
154,Montreal Canadiens,Erik Nystrom\nystrer02,SE,LW,18,,MODO Jr. (Sweden-Jr.),,,,,,,,,,,,
155,New York Islanders,Jesse Graham\grahaje01,CA,D,18,,Niagara (OHL),,,,,,,,,,,,
156,Toronto Maple Leafs,Connor Brown\brownco02,CA,RW,18,2016,Erie (OHL),7,1,5,6,-2,0,,,,,,
157,Toronto Maple Leafs,Ryan Rupert\ruperry01,CA,C,18,,London (OHL),,,,,,,,,,,,
158,Minnesota Wild,Christoph Bertschy\bertsch02,CH,C,18,2016,Bern (Swiss),3,0,0,0,0,0,,,,,,
159,Carolina Hurricanes,Collin Olson\olsonco01,US,G,18,,USA U-18 (USHL),,,,,,,,,,,,
160,Winnipeg Jets,Ryan Olsen\olsenry01,CA,C,18,,Saskatoon (WHL),,,,,,,,,,,,
161,Tampa Bay Lightning,Jake Dotchin\dotchja01,CA,D,18,,Owen Sound (OHL),,,,,,,,,,,,
162,Colorado Avalanche,Joseph Blandisi\blandjo01,CA,C/RW,18,2016,Owen Sound (OHL),41,5,12,17,-14,34,,,,,,
163,Buffalo Sabres,Linus Ullmark\ullmali01,SE,G,19,2016,MODO Jr. (Sweden-Jr.),20,0,0,0,0,0,20,8,10,2,.913,2.60
164,Nashville Predators,Simon Fernholm\fernhsi01,SE,D,18,,Huddinge Jr. (Sweden-Jr.),,,,,,,,,,,,
165,Calgary Flames,Coda Gordon\gordoco01,CA,LW,18,,Swift Current (WHL),,,,,,,,,,,,
166,Ottawa Senators,Francois Brassard\brassfr01,CA,G,18,,Quebec (QMJHL),,,,,,,,,,,,
167,Washington Capitals,Riley Barber\barberi01,US,RW,18,,USA U-18 (USHL),,,,,,,,,,,,
168,San Jose Sharks,Clifford Watson\watsocl01,US,D,18,,Sioux City (USHL),,,,,,,,,,,,
169,Chicago Blackhawks,Vincent Hinostroza\hinosvi01,US,C,18,2016,Waterloo (USHL),7,0,0,0,-1,6,,,,,,
170,Detroit Red Wings,James De Haas\dehaaja01,CA,D,18,,Toronto Lakeshore (OJHL),,,,,,,,,,,,
171,Los Angeles Kings,Tomas Hyka\hykato01,CZ,RW,19,,Gatineau (QMJHL),,,,,,,,,,,,
172,Nashville Predators,Max Gortz\gortzma01,SE,RW,19,,Farjestad Jr. (Sweden-Jr.),,,,,,,,,,,,
173,Pittsburgh Penguins,Anton Zlobin\zlobian01,RU,RW,19,,Shawinigan (QMJHL),,,,,,,,,,,,
174,Florida Panthers,Francis Beauvillier\beauvfr01,CA,C/LW,18,,Rimouski (QMJHL),,,,,,,,,,,,
